케이엠에이치,
전기초자,
한국컴퓨터지주,
삼정펄프,3.0
휴닉스,
엔케이물산,3.0
한화케미칼,1.0
갑을,
맥슨텔레콤,
대아리드선,
영원무역홀딩스,2.0
미우,
금성계전,
흥양,
한국내화,3.0
우리종금,3.0
OCI,2.0
이마트에브리데이,3.0
한국프랜지,3.0
고려화학,
LS산전,2.0
고려아연,1.0
삼성중공업,1.0
포스코티엠씨,
극동제혁,
한솔종합금융,
라미화장품,
우진아이엔에스,
한솔PNS,3.0
화인자산관리,
일진,
현대하이스코,2.0
라이프주택개발,
지코,3.0
웰바이오텍,3.0
현대미포조선,2.0
진양폴리,3.0
화천기계,3.0
화신,3.0
금강화섬,
평화홀딩스,3.0
아이에스동서,2.0
퍼스텍,3.0
제일냉동,
S-Oil,1.0
삼호개발,3.0
한주화학,
진원생명과학,3.0
코오롱유화,
케드콤,
LG이노텍,1.0
에넥스,3.0
CJ씨푸드,3.0
두산건설.1,2.0
롯데케미칼,1.0
동국방직,
현대상선,2.0
현대위아,1.0
삼화전자,3.0
한국종합금융,
태림포장,3.0
갑을방적,
성안,3.0
유니켐,3.0
부산산업,3.0
케이씨오에너지,
갤럭시아에스엠,3.0
송원칼라,
기산,
한농화성,3.0
청구,
삼신,
엘지정보통신,
유양디앤유,3.0
한신기계,3.0
현대페인트,3.0
현대상사,2.0
금호석유,1.0
SKC,2.0
배명금속,
STX,3.0
한국물산,
계몽사,
현대종합금융,
신성이엔지,3.0
태영판지공업,
새한종합금융,
DB,3.0
우진전기,
성원건설,
동방개발,
영흥철강,3.0
키위미디어그룹,3.0
신호페이퍼,
계양전기,3.0
동국전자,
셰프라인,
이지닷컴,
동신,
영화금속,3.0
신한인터내쇼날,
경동인베스트,2.0
현대모비스,1.0
허메스홀딩스,
글로스텍,
메리츠종금,
한화에어로스페이스,2.0
영진테크,
제일종합금융,
더존비즈온,3.0
신세계톰보이,3.0
청호컴넷,3.0
경인양행,3.0
HDC,1.0
환영철강공업,
