피델릭스,1.0
엔토리노,2.0
한국디지탈라인,2.0
에스오케이,2.0
유비케어,1.0
소프트센,1.0
삼진,2.0
테라,1.0
엠젠플러스,2.0
판타지오,2.0
우리기술,
비트컴퓨터,1.0
GMR 머티리얼즈,3.0
에이스앤파트너스,1.0
원익,1.0
동일기연,2.0
카인드웨어서울,
바이온,2.0
세아메탈,
지오엠씨,1.0
세림아이텍,2.0
제이엠아이,1.0
삼한콘트롤스,2.0
제룡전기,2.0
이디,2.0
디지틀조선,1.0
엠케이전자,1.0
시그네틱스,
폴켐,3.0
모아텍,1.0
삼화기연,3.0
남성알미늄,3.0
인성정보,1.0
쌈지,
어울림엘시스,2.0
코웰패션,1.0
보성인터내셔날,3.0
디케이디앤아이,2.0
제이씨현시스템,1.0
두림티앤씨,2.0
좋은사람들,2.0
대진정밀화학,
디에스티,2.0
동성화인텍,2.0
어필텔레콤,
파라텍,2.0
룩손에너지,1.0
블루콤,
에이코넬,
SK브로드밴드,1.0
네패스,2.0
블루스톤,
스카이문스테크놀로지,
티비씨,
지노시스템,2.0
블루멈,1.0
트라이써클,
파라다이스,
무한투자,
글로웍스,1.0
제넥셀,2.0
디씨씨,2.0
해성산업,2.0
조아제약,1.0
한국기업평가,
올에버,2.0
이론테크놀로지,
소예,2.0
인터파크홀딩스,1.0
프럼파스트,
티브로드도봉강북방송,2.0
청람디지탈,2.0
더블유에프엠,1.0
브이에스에스티,1.0
드림라인,1.0
지아이바이오,2.0
기산텔레콤,1.0
마제스타,1.0
써니트렌드,2.0
KG이니시스,
솔본,1.0
바른손이앤에이,2.0
CL,2.0
CJ ENM,1.0
그로웰텔레콤,2.0
이지바이오,1.0
메카포럼,1.0
호성,
서희건설,2.0
JYP Ent.,
현대멀티캡,1.0
케이알,2.0
바이오시스,1.0
예림당,2.0
아비코전자,
한아시스템,1.0
KTH,1.0
위지트,2.0
SCI평가정보,2.0
씨티젠,2.0
영인프런티어,2.0
금화피에스시,
유니셈,2.0
태산엘시디,1.0
오상헬스케어,
이매진아시아,2.0
헤쎄나,2.0
뉴켐진스템셀,2.0
3SOFT,
제이콘텐트리,
대성미생물,
SK머티리얼즈,2.0
에스에스컴텍,2.0
SFA반도체,
에이스디지텍,
영풍정밀,2.0
케이엔티,
지니웍스,3.0
지디코프,1.0
버추얼텍,1.0
세종텔레콤,2.0
HRS,
플러스프로핏,
KCI,
코맥스,1.0
심텍홀딩스,1.0
한빛네트,
