Code,Name,결산월,상장폐지일,상장폐지사유
A025690,동방라이텍,12.0,20050312.0,감사의견거절(20050224)
A025920,우경,12.0,20130710.0,감사의견거절(감사범위 제한)
A025970,알덱스,12.0,20111220.0,피흡수합병
A026220,에스티씨라이프,12.0,20111129.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A026230,IDH,12.0,20090429.0,감사범위 제한에 따른 감사의견 거절
A026240,동남리스금융,3.0,20000728.0,영업전부의 양도
A026250,삼우이엠씨,12.0,20130412.0,자본전액잠식
A026260,위너지스,12.0,20181011.0,감사의견거절(감사범위 제한)
A026540,제일창투,12.0,20111014.0,감사의견거절(감사범위제한)
A026970,대백저축은행,12.0,20041105.0,액면가액일정비율미만
A027350,텔슨전자,12.0,20040810.0,최종부도
A027440,코리아이앤디,12.0,20040414.0,감사의견거절(20040329)
A027560,케이디엠,12.0,20020503.0,자진등록취소
A027610,대륭산업,12.0,20000607.0,"주식분산기준미달,당좌거래정지,화의절차개시"
A027700,대백쇼핑,12.0,20040618.0,관리종목지정후90일간종가가동비율이상인일이30이상일것불충족
A027890,스탠더드텔레콤,12.0,20030405.0,감사의견부적정
A028090,네오퍼플,12.0,20130503.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A030030,중앙디자인,12.0,20110413.0,자본전액잠식
A030390,쏠라엔텍,12.0,20100508.0,감사의견거절(감사범위제한 및 계속기업 존속 불확실)
A030420,디패션,12.0,20110507.0,감사의견 부적정
A030700,한국통신엠닷컴,12.0,20010521.0,피흡수합병(한국통신프리텔)
A030950,보진재,12.0,20050430.0,경상손실 및 시가총액 50억원 미달 2회연속
A030970,주은리스,3.0,20021221.0,액면가액일정비율미달로 연속하여 10일간 지속
A031150,국민신용카드,12.0,20031010.0,피흡수합병(국민은행)
A031800,ST&I,12.0,20090701.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A031920,신민저축은행,6.0,20130227.0,2반기 연속 자본잠식률 50%이상
A031950,에듀패스,12.0,20110609.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A031960,동산진흥,12.0,20100220.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정"
A031970,엠바이엔,12.0,20040407.0,감사의견거절(20040322)
A031990,대선조선,12.0,20110413.0,자본전액잠식 등
A032030,일공공일안경,12.0,20100413.0,자본전액잠식
A032040,C&S자산관리,12.0,20181011.0,감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성)
A032050,후야인포넷,12.0,20050426.0,자본전액잠식(20050411)
A032150,으뜸상호저축은행,6.0,20031015.0,2사업년도 연속 자본잠식률 50%이상
A032180,이수세라믹,12.0,20050525.0,상장폐지신청(20050428)
A032290,알티전자,12.0,20110423.0,사업보고서 법정제출기한 익일부터 10일 이내 미제출
A032380,핸디소프트,12.0,20110303.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A032390,KTF,12.0,20090623.0,(주)케이티에 피흡수합병으로 해산
A032420,터보테크,12.0,20150127.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
A032570,카라반케이디이,12.0,20090918.0,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지
A032590,엔토리노,12.0,20080412.0,자본전액잠식
A032600,한국디지탈라인,12.0,20031030.0,최근사업연도말 현재 자본전액 잠식
A032610,에스오케이,12.0,20050421.0,감사의견거절(20050406)
A032780,테라,12.0,20030425.0,사업보고서 미제출
A032930,에이스앤파트너스,12.0,20120118.0,피흡수합병
A033020,세아메탈,12.0,20041220.0,자진등록취소
A033030,지오엠씨,12.0,20100925.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A033040,세림아이텍,12.0,20021126.0,"신고,공시의무위반 투자유의종목지정후 1년이내 불성실공시"
A033070,삼한콘트롤스,12.0,20020418.0,최종부도
A033190,폴켐,12.0,20100423.0,사업보고서 법정제출기한 익일부터 10일이내 미제출
A033210,삼화기연,12.0,20040331.0,감사의견거절
A033220,남성알미늄,12.0,20050504.0,주식분산기준 미달 2년 연속
A033260,쌈지,12.0,20100417.0,최종부도 발생
A033280,어울림엘시스,12.0,20120911.0,2반기 연속 자본잠식률 50%이상
A033300,보성인터내셔날,12.0,20010525.0,자본전액잠식(2년)
