Code,Name,결산월,상장폐지일,상장폐지사유
A007410,대우전자,12,2002-04-13,2001사업년도 외부감사인의 감사의견거절
A007420,해동신용금고,6,2001-10-13,해산사유(파산확정) 발생
A007480,대한은박지,9,2013-01-28,동원시스템즈(주)에 피흡수합병으로 인한 해산
A007490,태창기업,12,2010-05-13,감사의견 의견거절
A007790,금하방직,12,1997-11-12,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A007800,솔로몬저축은행,6,2012-07-25,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A007910,세원화성,12,2005-02-24,자진상장폐지
A008000,도레이케미칼,3,2018-03-20,지주회사(최대주주등)의 완전자회사화 등
A008020,경남에너지,12,2016-05-19,신청에 의한 상장폐지
A008080,에스와이코퍼레이션,12,2013-09-25,신청에 의한 상장폐지
A008100,거성산업,12,1999-10-02,상장폐지유예기간종료(회사정리절차폐지 확정)
A008120,엠소닉,12,2005-04-28,자본전액잠식 및 감사의견 부적정
A008190,신호전자통신,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 폐업신고)
A008270,산은캐피탈,3,2005-06-16,신청에 의한 상장폐지
A008320,한국기술산업,10,2010-03-11,2008사업연도 감사인의 감사보고서상 감사의견거절
A008400,C&중공업,12,2009-05-13,2008사업연도 감사인의 감사보고서상 감사의견거절
A008440,아이넥스테크놀로지,12,2002-04-23,2001사업년도 외부감사인의 감사의견거절
A008480,KEP전자,12,2002-04-19,2001사업년도 외부감사인의 감사의견거절
A008530,일은증권,3,2002-02-20,리젠트증권에 피흡수합병
A008540,케이비물산,1,2012-06-08,감사의견 의견거절
A008640,우성건설,12,2001-01-20,회사정리절차폐지결정
A008650,신한전자,9,1996-04-23,한국전자㈜에 피흡수 합병으로 인한 해산
A008670,신한금융투자,3,2005-01-05,신한금융지주회사 자회사편입
A008690,한양,12,2001-02-07,회사정리절차폐지확정
A008720,삼양엔텍,12,2014-12-30,해산 사유 발생
A008750,범양식품,12,2003-12-27,상장시가총액 미달후 60매매일동안 상장시가총액 25억원 미만 사태가 10일간 계속
A008810,LG종합금융,3,1999-11-01,LG증권㈜에 피흡수합병으로 인한 해산
A008890,보람은행,12,1999-01-26,㈜하나은행과 합병후 해산
