Code,상장된 시장,한글명
A058650,KOSPI,세아홀딩스
A058730,KOSPI,다스코
A058850,KOSPI,KTcs
A058860,KOSPI,케이티스
A060980,KOSPI,한라홀딩스
A063160,KOSPI,종근당바이오
A064350,KOSPI,현대로템
A064960,KOSPI,S&T모티브
A066570,KOSPI,LG전자
A067830,KOSPI,세이브존I&C
A068270,KOSPI,셀트리온
A068290,KOSPI,삼성출판사
A068400,KOSPI,AJ렌터카
A069260,KOSPI,휴켐스
A069460,KOSPI,대호에이엘
A069620,KOSPI,대웅제약
A069640,KOSPI,한세엠케이
A069730,KOSPI,DSR제강
A069960,KOSPI,현대백화점
A070960,KOSPI,용평리조트
A071050,KOSPI,한국금융지주
A071090,KOSPI,하이스틸
A071320,KOSPI,지역난방공사
A071840,KOSPI,롯데하이마트
A071950,KOSPI,코아스
A071970,KOSPI,STX중공업
A072130,KOSPI,유엔젤
A072710,KOSPI,농심홀딩스
A073240,KOSPI,금호타이어
A074610,KOSPI,나노메딕스
A075180,KOSPI,새론오토모티브
A075580,KOSPI,세진중공업
A077500,KOSPI,유니퀘스트
A077970,KOSPI,STX엔진
A078000,KOSPI,텔코웨어
A078520,KOSPI,에이블씨엔씨
A078930,KOSPI,GS
A079160,KOSPI,CJ CGV
A079430,KOSPI,현대리바트
A079440,KOSPI,오렌지라이프
A079550,KOSPI,LIG넥스원
A079660,KOSPI,사조해표
A079980,KOSPI,휴비스
A081000,KOSPI,일진다이아
A081660,KOSPI,휠라코리아
A082640,KOSPI,동양생명
A082740,KOSPI,HSD엔진
A083420,KOSPI,그린케미칼
A084010,KOSPI,대한제강
A084670,KOSPI,동양고속
A084680,KOSPI,이월드
A084690,KOSPI,대상홀딩스
A084870,KOSPI,TBH글로벌
A085310,KOSPI,엔케이
A085620,KOSPI,미래에셋생명
A086280,KOSPI,현대글로비스
A086790,KOSPI,하나금융지주
A088350,KOSPI,한화생명
A088790,KOSPI,진도
A089470,KOSPI,HDC현대EP
A089590,KOSPI,제주항공
A090080,KOSPI,평화산업
A090350,KOSPI,노루페인트
A090370,KOSPI,메타랩스
A090430,KOSPI,아모레퍼시픽
A091090,KOSPI,세원셀론텍
A091810,KOSPI,티웨이항공
A092200,KOSPI,디아이씨
A092220,KOSPI,KEC
A092230,KOSPI,KPX홀딩스
A092440,KOSPI,기신정기
A092780,KOSPI,동양피스톤
A093050,KOSPI,LF
A093230,KOSPI,이아이디
A093240,KOSPI,형지엘리트
A093370,KOSPI,후성
A094280,KOSPI,효성ITX
A095570,KOSPI,AJ네트웍스
A095720,KOSPI,웅진씽크빅
A096760,KOSPI,JW홀딩스
A096770,KOSPI,SK이노베이션
A097230,KOSPI,한진중공업
A097950,KOSPI,CJ제일제당
A100220,KOSPI,비상교육
A100250,KOSPI,진양홀딩스
A100840,KOSPI,S&TC
A101060,KOSPI,SBS미디어홀딩스
A101140,KOSPI,아티스
A101530,KOSPI,해태제과식품
A102260,KOSPI,동성코퍼레이션
A102280,KOSPI,쌍방울
A102460,KOSPI,이연제약
A103130,KOSPI,웅진에너지
A103140,KOSPI,풍산
A103590,KOSPI,일진전기
A104700,KOSPI,한국철강
A105560,KOSPI,KB금융
A105630,KOSPI,한세실업
A105840,KOSPI,우진
A107590,KOSPI,미원홀딩스
A108670,KOSPI,LG하우시스
A109070,KOSPI,컨버즈
A111110,KOSPI,호전실업
A111770,KOSPI,영원무역
A112610,KOSPI,씨에스윈드
A114090,KOSPI,GKL
A115390,KOSPI,락앤락
A117580,KOSPI,대성에너지
A118000,KOSPI,우리들휴브레인
A119650,KOSPI,KC코트렐
A120030,KOSPI,조선선재
A120110,KOSPI,코오롱인더
A122900,KOSPI,아이마켓코리아
A123690,KOSPI,한국화장품
A123700,KOSPI,SJM
A123890,KOSPI,한국자산신탁
A126560,KOSPI,현대에이치씨엔
A128820,KOSPI,대성산업
A128940,KOSPI,한미약품
A129260,KOSPI,인터지스
A130660,KOSPI,한전산업
A133820,KOSPI,화인베스틸
A134380,KOSPI,미원화학
A134790,KOSPI,시디즈
A136490,KOSPI,선진
A138040,KOSPI,메리츠금융지주
A138250,KOSPI,엔에스쇼핑
A138490,KOSPI,코오롱플라스틱
