Code,상장폐지일,상장폐지사유
A004510,20040428.0,영업활동정지 6월 계속
A004530,20080422.0,감사의견 의견거절
A004540,,
A004550,20120622.0,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A004560,,
A004600,19971022.0,오비맥주에 피흡수합병으로 인한 해산
A004610,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출, 영업활동정지"
A004620,20110517.0,코오롱인더스트리(주)에 피흡수합병으로 인한 해산
A004660,20050330.0,자진상장폐지신청
A004690,,
A004700,,
A004710,,
A004720,,
A004730,20000129.0,상장폐지유예기간 종료
A004740,20170705.0,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A004770,,
A004800,,
A004820,20100415.0,자본전액잠식
A004830,,
A004840,,
A004870,,
A004890,,
A004910,,
A004920,,
A004940,20130426.0,신청에 의한 상장폐지
A004960,,
A004970,,
A004980,,
A004990,,
A005000,19970616.0,회사정리절차폐지확정에 따른 상장폐지유예기간종료
A005010,,
A005020,19990108.0,㈜국민은행과 합병후 해산
A005030,,
A005040,19981009.0,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A005060,20020419.0,2001사업년도 외부감사인의 감사의견거절
A005070,,
A005090,,
A005100,19990616.0,주권상장폐지신청
A005110,,
A005180,,
A005190,,
A005250,,
A005270,20110607.0,지주회사의 완전자회사화(지주회사 신규상장)
A005280,20110330.0,지주회사의 완전자회사화(지주회사 신규상장)
A005300,,
A005320,,
A005330,20070620.0,현대모비스(주)에 피흡수합병으로 해산
A005350,20110415.0,자본전액잠식
A005360,,
A005380,,
A005390,,
A005410,20000909.0,회사정리절차 폐지 결정
A005420,,
A005430,,
A005440,,
A005450,,
A005490,,
A005500,,
A005510,19990225.0,영업인가취소에 따른 해산사유발생
A005560,20140410.0,신청에 의한 상장폐지
A005580,20000630.0,회사정리절차개시신청 기각결정에 따른 상장폐지유예기간 종료
A005600,20050106.0,최종부도발생 및 은행거래정지
A005610,,
A005620,20170825.0,해산 사유 발생(대성산업(주)에 흡수합병되어 해산)
A005660,19990827.0,한진중공업㈜에 피흡수합병으로 인한 해산
A005680,,
A005690,,
A005720,,
A005740,,
A005750,,
A005760,20090219.0,감사의견 의견거절
A005770,20030416.0,주식분포상황요건미달 2년계속
A005790,20000212.0,상장폐지유예기간 종료
A005800,,
A005810,,
A005820,,
A005830,,
A005850,,
A005870,,
A005880,,
A005890,20030721.0,지주회사의 완전자회사화(지주회사 신규상장)
A005900,20140425.0,자본전액잠식
A005930,,
A005940,,
A005950,,
A005960,,
A005980,20181004.0,감사의견 의견거절
A006040,,
A006060,,
A006070,20090513.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A006090,,
A006110,,
A006120,,
A006150,20050408.0,"회사정리절차 개시 신청, 최종부도발생 및 은행거래정지"
A006160,20001212.0,회사정리절차폐지결정
A006200,,
A006210,20090715.0,자본금의 100분의 50이상 잠식 2년 계속
A006220,,
A006240,19981224.0,㈜진도에 피흡수합병으로 인한 해산
A006250,20050718.0,분기 월평균 거래량 2분기 연속 미달
A006260,,
A006270,19950323.0,㈜엘지전자에  피흡수합병
A006280,,
A006290,20020423.0,2001사업년도 외부감사인의 감사의견거절
A006320,19990225.0,영업인가취소에 따른 해산사유발생
A006340,,
A006350,20130718.0,지주회사의 완전자회사화(지주회사 신규상장)
A006360,,
A006370,,
A006380,,
A006390,,
A006400,,
A006440,20130416.0,자본전액잠식
A006490,,
A006510,19961128.0,해태전자의 피흡수 합병으로 인한 폐지
A006570,,
A006590,19990930.0,㈜조흥은행에 피흡수합병으로 인한 해산
A006600,20061122.0,SK케미칼(주)에 피흡수합병으로 해산
A006610,20030416.0,주식분포상황요건미달 2년계속
A006650,,
A006660,,
A006740,,
A006750,20050414.0,감사의견거절
A006790,19981016.0,대상㈜에 피흡수합병으로 인한 해산
A006800,,
A006840,,
A006880,,
A006890,,
A006900,19950718.0,회사정리절차개시신청 기각확정
A006980,,
A007000,19990116.0,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A007050,20090415.0,최종부도발생
A007070,,
A007100,20000527.0,상장폐지유예기간 종료
A007110,,
A007120,,
A007160,,
A007170,19990716.0,기아자동차㈜에 피흡수합병으로 인한 해산
A007190,20170315.0,해산 사유 발생
A007200,20121017.0,자본전액잠식
A007210,,
A007230,19950928.0,엘지산전㈜에 피흡수합병
A007240,19990521.0,㈜조흥은행과 합병후 해산
A007280,,
A007310,,
A007340,,
A007360,20021213.0,㈜서울은행에 피흡수합병
A007380,19990322.0,㈜고합에 피흡수합병으로 인한 해산
A007410,20020413.0,2001사업년도 외부감사인의 감사의견거절
