Code,상장된 시장,한글명
A045060,KOSDAQ,오공
A045100,KOSDAQ,한양이엔지
A045300,KOSDAQ,성우테크론
A045340,KOSDAQ,토탈소프트
A045390,KOSDAQ,대아티아이
A045510,KOSDAQ,정원엔시스
A045520,KOSDAQ,크린앤사이언스
A045660,KOSDAQ,에이텍
A045890,KOSDAQ,GV
A045970,KOSDAQ,코아시아홀딩스
A046070,KOSDAQ,코다코
A046110,KOSDAQ,한일네트웍스
A046120,KOSDAQ,오르비텍
A046140,KOSDAQ,SBS콘텐츠허브
A046210,KOSDAQ,파나진
A046310,KOSDAQ,백금T&A
A046390,KOSDAQ,삼화네트웍스
A046440,KOSDAQ,KG모빌리언스
A046890,KOSDAQ,서울반도체
A046940,KOSDAQ,우원개발
A046970,KOSDAQ,우리로
A047080,KOSDAQ,한빛소프트
A047310,KOSDAQ,파워로직스
A047560,KOSDAQ,이스트소프트
A047770,KOSDAQ,코데즈컴바인
A047820,KOSDAQ,초록뱀
A047920,KOSDAQ,씨트리
A048260,KOSDAQ,오스템임플란트
A048410,KOSDAQ,현대바이오
A048430,KOSDAQ,유라테크
A048470,KOSDAQ,대동스틸
A048530,KOSDAQ,인트론바이오
A048550,KOSDAQ,SM C&C
A048770,KOSDAQ,TPC
A048830,KOSDAQ,엔피케이
A048870,KOSDAQ,시너지이노베이션
A048910,KOSDAQ,대원미디어
A049070,KOSDAQ,인탑스
A049080,KOSDAQ,기가레인
A049120,KOSDAQ,파인디앤씨
A049180,KOSDAQ,셀루메드
A049430,KOSDAQ,코메론
A049470,KOSDAQ,SGA
A049480,KOSDAQ,오픈베이스
A049520,KOSDAQ,유아이엘
A049550,KOSDAQ,잉크테크
A049630,KOSDAQ,재영솔루텍
A049720,KOSDAQ,고려신용정보
A049830,KOSDAQ,승일
A049950,KOSDAQ,미래컴퍼니
A049960,KOSDAQ,쎌바이오텍
A050090,KOSDAQ,휘닉스소재
A050110,KOSDAQ,캠시스
A050120,KOSDAQ,라이브플렉스
A050320,KOSDAQ,에이앤티앤
A050540,KOSDAQ,한국코퍼레이션
A050760,KOSDAQ,에스폴리텍
A050860,KOSDAQ,아세아텍
A050890,KOSDAQ,쏠리드
A050960,KOSDAQ,수산아이앤티
A051160,KOSDAQ,지어소프트
A051360,KOSDAQ,토비스
A051370,KOSDAQ,인터플렉스
A051380,KOSDAQ,피씨디렉트
A051390,KOSDAQ,YW
A051490,KOSDAQ,나라엠앤디
A051500,KOSDAQ,CJ프레시웨이
A051780,KOSDAQ,큐로홀딩스
A051980,KOSDAQ,중앙리빙테크
A052020,KOSDAQ,에스티큐브
A052190,KOSDAQ,이에스에이
A052220,KOSDAQ,iMBC
A052260,KOSDAQ,SK바이오랜드
A052300,KOSDAQ,W홀딩컴퍼니
A052330,KOSDAQ,코텍
A052400,KOSDAQ,코나아이
A052420,KOSDAQ,오성첨단소재
A052460,KOSDAQ,아이크래프트
A052600,KOSDAQ,한네트
A052670,KOSDAQ,제일바이오
A052710,KOSDAQ,아모텍
A052770,KOSDAQ,와이디온라인
A052790,KOSDAQ,액토즈소프트
A052860,KOSDAQ,아이앤씨
A052900,KOSDAQ,KMH하이텍
A053030,KOSDAQ,바이넥스
A053050,KOSDAQ,지에스이
A053060,KOSDAQ,세동
A053110,KOSDAQ,소리바다
A053160,KOSDAQ,프리엠스
A053260,KOSDAQ,금강철강
A053270,KOSDAQ,구영테크
A053280,KOSDAQ,예스24
A053290,KOSDAQ,NE능률
A053300,KOSDAQ,한국정보인증
A053350,KOSDAQ,이니텍
A053450,KOSDAQ,세코닉스
A053590,KOSDAQ,한국테크놀로지
A053610,KOSDAQ,프로텍
A053620,KOSDAQ,태양
A053660,KOSDAQ,현진소재
A053700,KOSDAQ,삼보모터스
A053800,KOSDAQ,안랩
A053950,KOSDAQ,경남제약
A053980,KOSDAQ,오상자이엘
A054040,KOSDAQ,한국컴퓨터
A054050,KOSDAQ,농우바이오
A054090,KOSDAQ,삼진엘앤디
A054180,KOSDAQ,중앙오션
A054210,KOSDAQ,이랜텍
A054220,KOSDAQ,비츠로시스
A054300,KOSDAQ,팬스타엔터프라이즈
A054340,KOSDAQ,피앤텔
A054410,KOSDAQ,케이피티유
A054450,KOSDAQ,텔레칩스
A054540,KOSDAQ,삼영엠텍
A054620,KOSDAQ,APS홀딩스
A054630,KOSDAQ,에이디칩스
A054670,KOSDAQ,대한뉴팜
A054780,KOSDAQ,키이스트
A054800,KOSDAQ,아이디스홀딩스
A054920,KOSDAQ,한컴시큐어
A054930,KOSDAQ,유신
A054940,KOSDAQ,엑사이엔씨
A054950,KOSDAQ,제이브이엠
A056000,KOSDAQ,신스타임즈
A056080,KOSDAQ,유진로봇
A056090,KOSDAQ,유앤아이
A056190,KOSDAQ,에스에프에이
A056360,KOSDAQ,코위버
A056700,KOSDAQ,신화인터텍
A056730,KOSDAQ,포스링크
A057030,KOSDAQ,와이비엠넷
A057500,KOSDAQ,SKC 솔믹스
A057540,KOSDAQ,옴니시스템
A057680,KOSDAQ,옴니텔
A057880,KOSDAQ,토필드
A058110,KOSDAQ,멕아이씨에스
A058220,KOSDAQ,아리온
A058400,KOSDAQ,KNN
A058420,KOSDAQ,제이웨이
A058450,KOSDAQ,일야
A058470,KOSDAQ,리노공업
A058530,KOSDAQ,슈펙스비앤피
A058610,KOSDAQ,에스피지
A058630,KOSDAQ,엠게임
A058820,KOSDAQ,CMG제약
A059090,KOSDAQ,미코
A059100,KOSDAQ,아이컴포넌트
A059120,KOSDAQ,아진엑스텍
A059210,KOSDAQ,메타바이오메드
A060150,KOSDAQ,인선이엔티
A060230,KOSDAQ,이그잭스
A060240,KOSDAQ,룽투코리아
A060250,KOSDAQ,NHN한국사이버결제
A060260,KOSDAQ,뉴보텍
A060280,KOSDAQ,큐렉소
A060300,KOSDAQ,레드로버
A060310,KOSDAQ,3S
A060370,KOSDAQ,KT서브마린
A060380,KOSDAQ,동양에스텍
A060480,KOSDAQ,국일신동
A060540,KOSDAQ,에스에이티
A060560,KOSDAQ,홈센타홀딩스
A060570,KOSDAQ,아이리버
A060590,KOSDAQ,씨티씨바이오
A060720,KOSDAQ,KH바텍
A060900,KOSDAQ,퍼시픽바이오
A061040,KOSDAQ,알에프텍
A061250,KOSDAQ,화일약품
A061970,KOSDAQ,엘비세미콘
A062860,KOSDAQ,티엘아이
A063080,KOSDAQ,게임빌
A063170,KOSDAQ,서울옥션
A063440,KOSDAQ,SM Life Design
A063570,KOSDAQ,한국전자금융
A063760,KOSDAQ,이엘피
A064090,KOSDAQ,에프앤리퍼블릭
A064240,KOSDAQ,홈캐스트
A064260,KOSDAQ,다날
A064290,KOSDAQ,인텍플러스
A064480,KOSDAQ,브리지텍
A064510,KOSDAQ,에코마이스터
A064520,KOSDAQ,바른전자
A064550,KOSDAQ,바이오니아
A064760,KOSDAQ,티씨케이
A064800,KOSDAQ,필링크
A064820,KOSDAQ,케이프
A065060,KOSDAQ,지엔코
A065130,KOSDAQ,탑엔지니어링
A065150,KOSDAQ,MP그룹
A065160,KOSDAQ,에프티이앤이
A065170,KOSDAQ,넥스트BT
A065350,KOSDAQ,신성델타테크
A065420,KOSDAQ,에스아이리소스
A065440,KOSDAQ,이루온
A065450,KOSDAQ,빅텍
A065500,KOSDAQ,오리엔트정공
A065510,KOSDAQ,휴비츠
A065530,KOSDAQ,전파기지국
A065560,KOSDAQ,녹원씨엔아이
A065570,KOSDAQ,삼영이엔씨
A065620,KOSDAQ,제낙스
A065650,KOSDAQ,메디프론
A065660,KOSDAQ,안트로젠
A065680,KOSDAQ,우주일렉트로
A065690,KOSDAQ,대진디엠피
A065710,KOSDAQ,서호전기
A065770,KOSDAQ,CS
A065940,KOSDAQ,바이오빌
A065950,KOSDAQ,웰크론
A066110,KOSDAQ,한프
A066130,KOSDAQ,하츠
A066310,KOSDAQ,큐에스아이
A066360,KOSDAQ,체리부로
A066410,KOSDAQ,버킷스튜디오
A066430,KOSDAQ,와이오엠
A066590,KOSDAQ,우수AMS
A066620,KOSDAQ,국보디자인
A066670,KOSDAQ,디스플레이텍
A066700,KOSDAQ,테라젠이텍스
A066790,KOSDAQ,씨씨에스
A066900,KOSDAQ,디에이피
A066910,KOSDAQ,손오공
A066970,KOSDAQ,엘앤에프
A066980,KOSDAQ,브레인콘텐츠
A067000,KOSDAQ,조이시티
A067010,KOSDAQ,이씨에스
A067080,KOSDAQ,대화제약
A067160,KOSDAQ,아프리카TV
A067170,KOSDAQ,오텍
A067280,KOSDAQ,멀티캠퍼스
A067290,KOSDAQ,JW신약
A067310,KOSDAQ,하나마이크론
A067390,KOSDAQ,아스트
A067570,KOSDAQ,엔브이에이치코리아
A067630,KOSDAQ,에이치엘비생명과학
A067730,KOSDAQ,로지시스
A067770,KOSDAQ,세진티에스
A067900,KOSDAQ,와이엔텍
A067920,KOSDAQ,이글루시큐리티
A067990,KOSDAQ,도이치모터스
A068050,KOSDAQ,팬엔터테인먼트
A068240,KOSDAQ,다원시스
A068330,KOSDAQ,일신바이오
A068760,KOSDAQ,셀트리온제약
A068790,KOSDAQ,DMS
A068930,KOSDAQ,디지털대성
A068940,KOSDAQ,아이씨케이
A069080,KOSDAQ,웹젠
A069110,KOSDAQ,코스온
A069140,KOSDAQ,누리플랜
A069330,KOSDAQ,유아이디
A069410,KOSDAQ,엔텔스
A069510,KOSDAQ,에스텍
A069540,KOSDAQ,라이트론
A069920,KOSDAQ,아이에스이커머스
A070300,KOSDAQ,한솔시큐어
A070590,KOSDAQ,한솔인티큐브
A071200,KOSDAQ,인피니트헬스케어
A071280,KOSDAQ,로체시스템즈
A071460,KOSDAQ,대유위니아
A071670,KOSDAQ,에이테크솔루션
A071850,KOSDAQ,캐스텍코리아
A072020,KOSDAQ,중앙백신
A072470,KOSDAQ,우리산업홀딩스
A072520,KOSDAQ,제넨바이오
A072770,KOSDAQ,네오디안테크놀로지
A072870,KOSDAQ,메가스터디
A072950,KOSDAQ,빛샘전자
A072990,KOSDAQ,에이치시티
A073010,KOSDAQ,케이에스피
A073070,KOSDAQ,에스모
A073110,KOSDAQ,엘엠에스
A073190,KOSDAQ,듀오백
A073490,KOSDAQ,이노와이어리스
A073540,KOSDAQ,에프알텍
A073560,KOSDAQ,우리손에프앤지
A073570,KOSDAQ,피엠지파마
A073640,KOSDAQ,삼원테크
A074430,KOSDAQ,아미노로직스
A074600,KOSDAQ,원익QnC
