Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A017010,제너비오믹스,12.0,,,
A017050,스타맥스,12.0,,,
A017090,풍연,12.0,,,
A017160,세븐코스프,12.0,,,
A017210,코닉스,12.0,,,
A017211,코닉스보통1신주,,,,
A017250,인터엠,9.0,G45,기술하드웨어와장비,전자장비와기기
A017410,한주개발,12.0,,,
A017480,삼현철강,12.0,G15,소재,철강
A017510,세명전기,12.0,G20,자본재,전기장비
A017620,라인건설,12.0,,,
A017650,대림제지,12.0,G15,소재,포장재
A017680,데코앤이,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A017740,주화산업,12.0,,,
A017890,한국알콜,12.0,G15,소재,화학
A018000,유니슨,12.0,G20,자본재,기계
A018120,진로발효,12.0,G30,"식품,음료,담배",음료
A018180,텔슨정보통신,12.0,,,
A018230,보성건설,12.0,,,
A018290,지엠피,12.0,G45,기술하드웨어와장비,사무용전자제품
A018310,삼목에스폼,12.0,G20,자본재,건축제품
A018380,유진산업,12.0,,,
A018480,부산리스,3.0,,,
A018620,우진비앤지,12.0,G35,제약과생물공학,제약
A018680,서울제약,12.0,G35,제약과생물공학,제약
A018700,바른손,3.0,G25,미디어,방송과엔터테인먼트
A018720,동양기공,12.0,,,
A018740,에어로시스템,12.0,,,
A018840,금성제관,12.0,,,
A018860,동방티엔씨,12.0,,,
A018890,모라리소스,12.0,,,
A018910,신호테크,12.0,,,
A019010,그랜드백화점,12.0,G25,소매(유통),백화점과일반상점
A019120,경윤하이드로,12.0,,,
A019210,와이지-원,12.0,G20,자본재,기계
A019230,신한종합비료(신비),12.0,,,
A019260,엔케이바이오,12.0,,,
A019430,넥서스투자,12.0,,,
A019460,서울창투,12.0,,,
A019530,한국산업투자,12.0,,,
A019540,일지테크,12.0,G25,자동차와부품,자동차부품
A019550,SBI인베스트먼트,12.0,G40,다각화된금융,창업투자
A019560,한국파트너스,12.0,,,
A019570,제미니투자,3.0,G40,다각화된금융,창업투자
A019590,엠벤처투자,12.0,G40,다각화된금융,창업투자
A019640,희훈디앤지,12.0,,,
A019660,글로본,12.0,G25,내구소비재와의류,화장품
A019730,신한모방,12.0,,,
A019770,서연탑메탈,12.0,G25,자동차와부품,자동차부품
A019990,에너토크,12.0,G20,자본재,기계
A020070,에버리소스,12.0,,,
A020100,태일전자,12.0,,,
A020180,대신정보통신,3.0,G45,소프트웨어와서비스,IT서비스
A020400,대동금속,12.0,G25,자동차와부품,자동차부품
A020490,아이씨켐,12.0,,,
A020620,세본금속,12.0,,,
A020710,시공테크,12.0,G20,상업서비스와공급품,상업서비스와공급품
A020860,리타워테크놀러지스,12.0,,,
A020880,동마산업,12.0,,,
A021040,대호피앤씨,12.0,G15,소재,철강
A021060,한림창투,12.0,,,
A021080,에이티넘인베스트,12.0,G40,다각화된금융,창업투자
A021090,케미그라스,12.0,,,
A021220,삼화정밀,12.0,,,
A021320,KCC건설,12.0,G20,자본재,건설
A021570,알루코,12.0,,,
A021600,대동은행,12.0,,,
A021650,한국큐빅,12.0,G25,자동차와부품,자동차부품
A021660,하이켐,12.0,,,
A021740,세화기술투자,12.0,,,
A021870,중앙리스,3.0,,,
A021880,메이슨캐피탈,3.0,G40,다각화된금융,기타금융
A021930,경남리스금융,3.0,,,
A021960,KB캐피탈,12.0,,,
A022020,삼경기전,12.0,,,
A022060,삼성투자신탁증권,3.0,,,
A022100,포스코 ICT,12.0,G45,소프트웨어와서비스,IT서비스
A022130,건영종합건설,12.0,,,
A022220,정산애강,12.0,G20,자본재,건축제품
A022510,동호전기,12.0,,,
A022520,코오롱아이넷,12.0,,,
A022610,한일,12.0,,,
A022770,금강정공,12.0,,,
A022780,옵셔널벤처스코리아,3.0,,,
A022870,평화은행,12.0,,,
A023020,동양매직,12.0,,,
A023140,다다,12.0,,,
A023160,태광,12.0,G20,자본재,기계
A023410,유진기업,12.0,G20,자본재,건축자재
A023420,유진종합개발,12.0,,,
A023430,아이이,12.0,,,
A023440,제일제강,12.0,G15,소재,철강
A023460,CNH,12.0,G40,다각화된금융,기타금융
A023580,한서금고,6.0,,,
A023600,삼보판지,12.0,G15,소재,포장재
A023670,알이엔,12.0,,,
A023710,익산,12.0,,,
A023760,한국캐피탈,12.0,G40,다각화된금융,기타금융
A023770,플레이위드,12.0,G45,소프트웨어와서비스,게임소프트웨어와서비스
A023771,플레이위드보통1신주,,G45,소프트웨어와서비스,게임소프트웨어와서비스
A023780,신한캐피탈,3.0,,,
A023790,동일철강,12.0,G15,소재,철강
A023880,삼협산업,12.0,,,
A023890,아트라스BX,12.0,G25,자동차와부품,자동차부품
A023900,풍국주정,12.0,G30,"식품,음료,담배",음료
A023910,대한약품,12.0,G35,제약과생물공학,제약
A023920,광일,12.0,,,
A024060,흥구석유,12.0,G10,에너지,석유와가스
A024080,카리스소프트,12.0,,,
A024081,카리스소프트크보통1신주,,,,
A024120,KB오토시스,12.0,G25,자동차와부품,자동차부품
A024660,하림홀딩스,12.0,,,
A024740,한일단조,12.0,G25,자동차와부품,자동차부품
A024800,유성티엔에스,12.0,G15,소재,철강
A024810,이화전기,12.0,G20,자본재,전기장비
A024811,이화전기보통1신주,,G20,자본재,전기장비
A024820,동부금고,6.0,,,
A024830,세원물산,12.0,G25,자동차와부품,자동차부품
A024840,갑을메탈,12.0,G20,자본재,전기장비
A024850,피에스엠씨,3.0,G45,반도체와반도체장비,반도체와반도체장비
A024860,국제종합토건,12.0,,,
A024880,케이피에프,12.0,G20,자본재,기계
A024910,경창산업,12.0,G25,자동차와부품,자동차부품
A024920,동신특강,12.0,,,
A024930,국정교과서,12.0,,,
A024940,PN풍년,12.0,G25,내구소비재와의류,가정용기기와용품
A024950,삼천리자전거,12.0,G25,내구소비재와의류,레저용장비와제품
A025080,외환리스금융,3.0,,,
A025090,대구리스,3.0,,,
A025150,삼주건설,12.0,,,
A025220,중앙금고,6.0,,,
A025270,부산방직,12.0,,,
A025320,시노펙스,12.0,G45,기술하드웨어와장비,핸드셋
A025340,그린기술투자,12.0,,,
A025440,대성엘텍,12.0,G25,자동차와부품,자동차부품
A025450,한마음상호저축은행,6.0,,,
A025460,팬텀엔터그룹,12.0,,,
A025550,한국선재,12.0,G15,소재,철강
A025690,동방라이텍,12.0,,,
