Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A004150,한솔홀딩스,12,G15,소재,종이와목재
A004170,신세계,12,G25,소매(유통),백화점과일반상점
A004190,스마텔,12,,,
A004200,고려개발,12,G20,자본재,건설
A004210,한일방직,6,,,
A004230,세신,12,,,
A004250,NPC,12,G15,소재,화학
A004260,대성자원,12,,,
A004270,남성,12,G45,기술하드웨어와장비,전자장비와기기
A004280,아시아자동차공업,12,,,
A004290,아이케이엔터프라이즈,12,,,
A004310,현대약품,11,G35,제약과생물공학,제약
A004330,진영산업,8,,,
A004350,한일양행의약품,12,,,
A004360,세방,12,G20,운송,항공화물운송과물류
A004370,농심,12,G30,"식품,음료,담배",식품
A004380,삼익THK,12,G20,자본재,기계
A004390,오리온전기,12,,,
A004410,서울식품,12,G30,"식품,음료,담배",식품
A004420,동국무역,12,,,
A004430,송원산업,12,G15,소재,화학
A004440,대림씨엔에스,12,G20,자본재,건축자재
A004450,삼화왕관,12,G15,소재,포장재
A004460,고합,12,,,
A004490,세방전지,12,G25,자동차와부품,자동차부품
A004510,디와이홀딩스,12,,,
A004530,SY,12,,,
A004540,깨끗한나라,12,G30,가정용품과개인용품,가정용품
A004550,대우송도개발,12,,,
A004560,현대비앤지스틸,12,G15,소재,비철금속
A004600,두산음료,12,,,
A004610,성화,12,,,
A004620,캠브리지코오롱,12,,,
A004660,신동방씨피,12,,,
A004690,삼천리,12,G55,유틸리티,가스유틸리티
A004700,조광피혁,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A004710,한솔테크닉스,12,G45,디스플레이,디스플레이장비및부품
A004720,우리들제약,12,G35,제약과생물공학,제약
A004730,진로종합식품,12,,,
A004740,보루네오,12,,,
A004770,써니전자,12,G45,기술하드웨어와장비,전자장비와기기
A004800,효성,12,G15,소재,화학
A004820,조인에너지,12,,,
A004830,덕성,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A004840,DRB동일,12,G25,자동차와부품,자동차부품
A004870,티웨이홀딩스,12,G20,운송,항공사
A004890,동일산업,12,G15,소재,철강
A004910,조광페인트,12,G20,자본재,건축자재
A004920,씨아이테크,12,G45,기술하드웨어와장비,컴퓨터와주변기기
A004940,하나은행,12,,,
A004960,한신공영,12,G20,자본재,건설
A004970,신라교역,12,G30,"식품,음료,담배",식품
A004980,성신양회,12,G20,자본재,건축자재
A004990,롯데지주,12,G30,"식품,음료,담배",식품
A005000,남선물산,12,,,
A005010,휴스틸,12,G15,소재,철강
A005020,한국장기신용은행,12,,,
A005030,부산주공,12,G25,자동차와부품,자동차부품
A005040,두산기계,12,,,
A005060,대우통신,12,,,
A005070,코스모신소재,12,G15,소재,화학
A005090,삼광글라스,12,G15,소재,포장재
A005100,쌍용제지,6,,,
A005110,한창,12,G25,소매(유통),판매업체
A005180,빙그레,12,G30,"식품,음료,담배",식품
A005190,동성화학,12,G15,소재,화학
A005250,녹십자홀딩스,12,G35,제약과생물공학,제약
A005270,대구은행,12,,,
A005280,부산은행,12,,,
A005300,롯데칠성,12,G30,"식품,음료,담배",음료
A005320,국동,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A005330,카스코,12,,,
A005350,봉신,12,,,
A005360,모나미,12,G25,내구소비재와의류,문구류
A005380,현대차,12,G25,자동차와부품,자동차
A005390,신성통상,6,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A005410,신광산업,12,,,
A005420,코스모화학,12,G15,소재,화학
A005430,한국공항,12,G20,운송,운송인프라
A005440,현대그린푸드,12,G30,식품과기본식료품소매,식품과기본식료품소매
A005450,신한,12,G20,자본재,건설
A005490,POSCO,12,G15,소재,철강
A005500,삼진제약,12,G35,제약과생물공학,제약
